match_id,season,date,venue,team1,team2,toss_winner,toss_decision,team1_score,team2_score,winner,win_by_runs,win_by_wickets
37,2008,2008-04-17,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,170,146,Sunrisers Hyderabad,24,0
38,2008,2008-04-04,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,146,181,Royal Challengers Bangalore,0,8
39,2008,2008-04-18,Wankhede Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,164,160,Royal Challengers Bangalore,4,0
40,2008,2008-04-22,Arun Jaitley Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,188,158,Chennai Super Kings,30,0
41,2008,2008-04-20,Eden Gardens,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,166,162,Chennai Super Kings,4,0
42,2008,2008-04-13,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,176,169,Kolkata Knight Riders,7,0
43,2008,2008-04-06,Arun Jaitley Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,166,159,Punjab Kings,7,0
44,2008,2008-04-20,MA Chidambaram Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,138,132,Royal Challengers Bangalore,6,0
45,2008,2008-04-07,Sawai Mansingh Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,128,186,Royal Challengers Bangalore,0,3
46,2008,2008-04-03,M. Chinnaswamy Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,174,171,Mumbai Indians,3,0
47,2008,2008-04-04,PCA Stadium Mohali,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,166,175,Rajasthan Royals,0,5
48,2008,2008-04-11,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,190,145,Sunrisers Hyderabad,45,0
49,2008,2008-04-09,MA Chidambaram Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,140,147,Rajasthan Royals,0,5
50,2008,2008-04-10,M. Chinnaswamy Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,178,184,Rajasthan Royals,0,2
51,2008,2008-04-11,PCA Stadium Mohali,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,171,157,Rajasthan Royals,14,0
52,2008,2008-04-05,Wankhede Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,168,149,Rajasthan Royals,19,0
53,2008,2008-04-14,Arun Jaitley Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,140,146,Kolkata Knight Riders,0,9
54,2008,2008-04-22,Wankhede Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,150,152,Punjab Kings,0,2
55,2008,2008-04-15,M. Chinnaswamy Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,172,182,Delhi Capitals,0,7
56,2008,2008-04-15,Rajiv Gandhi Intl Stadium,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,184,126,Rajasthan Royals,58,0
57,2008,2008-04-05,PCA Stadium Mohali,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,182,163,Rajasthan Royals,19,0
58,2008,2008-04-15,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,137,179,Rajasthan Royals,0,3
59,2008,2008-04-19,PCA Stadium Mohali,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,166,164,Chennai Super Kings,2,0
60,2008,2008-04-17,Rajiv Gandhi Intl Stadium,Punjab Kings,Mumbai Indians,Punjab Kings,bat,126,167,Mumbai Indians,0,2
61,2009,2009-04-26,Sawai Mansingh Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,142,158,Kolkata Knight Riders,0,1
62,2009,2009-04-02,Sawai Mansingh Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,bat,137,182,Punjab Kings,0,8
63,2009,2009-04-15,Eden Gardens,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,158,174,Mumbai Indians,0,3
64,2009,2009-04-25,Wankhede Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,136,161,Rajasthan Royals,0,4
65,2009,2009-04-12,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,202,183,Sunrisers Hyderabad,19,0
66,2009,2009-04-01,MA Chidambaram Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,165,160,Sunrisers Hyderabad,5,0
67,2009,2009-04-24,Rajiv Gandhi Intl Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,119,170,Rajasthan Royals,0,4
68,2009,2009-04-25,Sawai Mansingh Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,197,156,Mumbai Indians,41,0
69,2009,2009-04-17,Arun Jaitley Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,148,169,Delhi Capitals,0,4
70,2009,2009-04-06,Rajiv Gandhi Intl Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,180,127,Royal Challengers Bangalore,53,0
71,2009,2009-04-06,PCA Stadium Mohali,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,163,139,Royal Challengers Bangalore,24,0
72,2009,2009-04-12,M. Chinnaswamy Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,168,159,Kolkata Knight Riders,9,0
73,2009,2009-04-05,Eden Gardens,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,174,166,Rajasthan Royals,8,0
74,2009,2009-04-19,MA Chidambaram Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,196,150,Kolkata Knight Riders,46,0
75,2009,2009-04-07,Sawai Mansingh Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,123,183,Royal Challengers Bangalore,0,3
76,2009,2009-04-27,Eden Gardens,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,179,176,Punjab Kings,3,0
77,2009,2009-04-15,Arun Jaitley Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,166,140,Punjab Kings,26,0
78,2009,2009-04-04,Sawai Mansingh Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,180,182,Royal Challengers Bangalore,0,3
79,2009,2009-04-14,MA Chidambaram Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,148,116,Punjab Kings,32,0
80,2009,2009-04-24,Wankhede Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,197,168,Mumbai Indians,29,0
81,2009,2009-04-04,Wankhede Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,153,149,Punjab Kings,4,0
82,2009,2009-04-10,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,190,145,Kolkata Knight Riders,45,0
83,2009,2009-04-27,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,163,172,Punjab Kings,0,2
84,2009,2009-04-17,PCA Stadium Mohali,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,179,155,Punjab Kings,24,0
85,2009,2009-04-22,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,205,128,Sunrisers Hyderabad,77,0
86,2009,2009-04-29,Arun Jaitley Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,168,155,Punjab Kings,13,0
87,2009,2009-04-19,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,137,208,Kolkata Knight Riders,0,6
88,2009,2009-04-23,PCA Stadium Mohali,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,145,189,Sunrisers Hyderabad,0,7
89,2009,2009-04-28,PCA Stadium Mohali,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,155,166,Punjab Kings,0,1
90,2009,2009-04-01,Arun Jaitley Stadium,Delhi Capitals,Punjab Kings,Punjab Kings,bat,134,189,Punjab Kings,0,2
91,2009,2009-04-02,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,156,176,Sunrisers Hyderabad,0,9
92,2009,2009-04-17,PCA Stadium Mohali,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,182,157,Mumbai Indians,25,0
93,2009,2009-04-23,Wankhede Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,146,191,Delhi Capitals,0,2
94,2009,2009-04-26,M. Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,201,170,Rajasthan Royals,31,0
95,2009,2009-04-25,Wankhede Stadium,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,194,186,Punjab Kings,8,0
96,2009,2009-04-19,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,158,161,Kolkata Knight Riders,0,4
97,2009,2009-04-23,M. Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,field,174,160,Mumbai Indians,14,0
98,2009,2009-04-09,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,154,160,Chennai Super Kings,0,2
99,2009,2009-04-18,Wankhede Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,136,150,Royal Challengers Bangalore,0,3
100,2009,2009-04-15,M. Chinnaswamy Stadium,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,176,176,Punjab Kings,0,1
101,2009,2009-04-15,Rajiv Gandhi Intl Stadium,Chennai Super Kings,Punjab Kings,Punjab Kings,field,163,128,Chennai Super Kings,35,0
102,2009,2009-04-26,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,169,135,Sunrisers Hyderabad,34,0
103,2009,2009-04-18,Sawai Mansingh Stadium,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,165,158,Kolkata Knight Riders,7,0
104,2009,2009-04-15,Eden Gardens,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,127,134,Rajasthan Royals,0,7
105,2009,2009-04-03,MA Chidambaram Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,140,168,Royal Challengers Bangalore,0,7
106,2009,2009-04-16,MA Chidambaram Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,164,148,Rajasthan Royals,16,0
107,2009,2009-04-14,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,157,152,Rajasthan Royals,5,0
108,2009,2009-04-17,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,bat,164,162,Royal Challengers Bangalore,2,0
109,2009,2009-04-02,Arun Jaitley Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,179,161,Sunrisers Hyderabad,18,0
110,2009,2009-04-26,Rajiv Gandhi Intl Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,157,156,Chennai Super Kings,1,0
111,2009,2009-04-17,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,190,147,Kolkata Knight Riders,43,0
112,2009,2009-04-03,Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,162,178,Sunrisers Hyderabad,0,8
113,2009,2009-04-24,M. Chinnaswamy Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,176,194,Chennai Super Kings,0,2
114,2009,2009-04-18,Rajiv Gandhi Intl Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,bat,155,162,Delhi Capitals,0,1
115,2009,2009-04-24,PCA Stadium Mohali,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,135,166,Mumbai Indians,0,6
116,2009,2009-04-28,Eden Gardens,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,183,185,Rajasthan Royals,0,6
117,2009,2009-04-18,Sawai Mansingh Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,155,169,Sunrisers Hyderabad,0,7
118,2009,2009-04-02,PCA Stadium Mohali,Punjab Kings,Rajasthan Royals,Punjab Kings,field,165,159,Punjab Kings,6,0
119,2009,2009-04-29,Wankhede Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,143,150,Punjab Kings,0,5
120,2009,2009-04-27,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,132,175,Delhi Capitals,0,8
121,2010,2010-04-11,M. Chinnaswamy Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,185,149,Rajasthan Royals,36,0
122,2010,2010-04-02,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,166,178,Mumbai Indians,0,4
123,2010,2010-04-05,Rajiv Gandhi Intl Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,172,162,Chennai Super Kings,10,0
124,2010,2010-04-03,Eden Gardens,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,181,173,Chennai Super Kings,8,0
125,2010,2010-04-21,PCA Stadium Mohali,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,169,153,Sunrisers Hyderabad,16,0
126,2010,2010-04-14,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,162,133,Delhi Capitals,29,0
127,2010,2010-04-24,PCA Stadium Mohali,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,141,178,Chennai Super Kings,0,2
128,2010,2010-04-28,Rajiv Gandhi Intl Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,186,171,Rajasthan Royals,15,0
129,2010,2010-04-28,M. Chinnaswamy Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,164,151,Chennai Super Kings,13,0
130,2010,2010-04-06,Wankhede Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,140,138,Royal Challengers Bangalore,2,0
131,2010,2010-04-07,MA Chidambaram Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,168,173,Kolkata Knight Riders,0,9
132,2010,2010-04-26,Rajiv Gandhi Intl Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,167,175,Royal Challengers Bangalore,0,6
133,2010,2010-04-26,MA Chidambaram Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,159,196,Sunrisers Hyderabad,0,3
134,2010,2010-04-09,Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,141,179,Punjab Kings,0,8
135,2010,2010-04-21,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,160,127,Delhi Capitals,33,0
136,2010,2010-04-26,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,211,165,Sunrisers Hyderabad,46,0
137,2010,2010-04-12,Rajiv Gandhi Intl Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,179,161,Mumbai Indians,18,0
138,2010,2010-04-14,MA Chidambaram Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,194,180,Sunrisers Hyderabad,14,0
139,2010,2010-04-25,Rajiv Gandhi Intl Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,178,106,Kolkata Knight Riders,72,0
140,2010,2010-04-12,M. Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,165,156,Rajasthan Royals,9,0
141,2010,2010-04-01,Rajiv Gandhi Intl Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,182,149,Mumbai Indians,33,0
142,2010,2010-04-17,Rajiv Gandhi Intl Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,135,179,Chennai Super Kings,0,5
143,2010,2010-04-29,MA Chidambaram Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,178,158,Delhi Capitals,20,0
144,2010,2010-04-24,Wankhede Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,149,187,Kolkata Knight Riders,0,2
145,2010,2010-04-20,Wankhede Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,127,210,Kolkata Knight Riders,0,6
146,2010,2010-04-29,M. Chinnaswamy Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,175,143,Mumbai Indians,32,0
147,2010,2010-04-08,MA Chidambaram Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,208,156,Rajasthan Royals,52,0
148,2010,2010-04-18,M. Chinnaswamy Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,180,190,Chennai Super Kings,0,2
149,2010,2010-04-02,Arun Jaitley Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,154,152,Royal Challengers Bangalore,2,0
150,2010,2010-04-01,MA Chidambaram Stadium,Mumbai Indians,Punjab Kings,Punjab Kings,field,179,150,Mumbai Indians,29,0
151,2010,2010-04-01,M. Chinnaswamy Stadium,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,149,185,Kolkata Knight Riders,0,9
152,2010,2010-04-21,Eden Gardens,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,152,198,Rajasthan Royals,0,3
153,2010,2010-04-15,Wankhede Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,135,161,Rajasthan Royals,0,4
154,2010,2010-04-15,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,160,165,Mumbai Indians,0,3
155,2010,2010-04-28,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,174,161,Sunrisers Hyderabad,13,0
156,2010,2010-04-10,M. Chinnaswamy Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,174,140,Sunrisers Hyderabad,34,0
157,2010,2010-04-13,M. Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,169,182,Royal Challengers Bangalore,0,8
158,2010,2010-04-26,Arun Jaitley Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,175,178,Kolkata Knight Riders,0,8
159,2010,2010-04-18,M. Chinnaswamy Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,172,174,Rajasthan Royals,0,9
160,2010,2010-04-22,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,158,166,Delhi Capitals,0,1
161,2010,2010-04-18,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,177,130,Mumbai Indians,47,0
162,2010,2010-04-10,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,172,179,Kolkata Knight Riders,0,6
163,2010,2010-04-07,M. Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,139,135,Chennai Super Kings,4,0
164,2010,2010-04-12,Eden Gardens,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,170,173,Rajasthan Royals,0,6
165,2010,2010-04-05,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,152,156,Kolkata Knight Riders,0,4
166,2010,2010-04-28,Sawai Mansingh Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,122,149,Sunrisers Hyderabad,0,7
167,2010,2010-04-01,Rajiv Gandhi Intl Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,179,145,Chennai Super Kings,34,0
168,2010,2010-04-02,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,144,130,Royal Challengers Bangalore,14,0
169,2010,2010-04-20,Rajiv Gandhi Intl Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,171,183,Chennai Super Kings,0,5
170,2010,2010-04-16,Eden Gardens,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,169,163,Royal Challengers Bangalore,6,0
171,2010,2010-04-10,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,165,157,Chennai Super Kings,8,0
172,2010,2010-04-06,Sawai Mansingh Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,170,155,Royal Challengers Bangalore,15,0
173,2010,2010-04-14,M. Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,169,140,Royal Challengers Bangalore,29,0
174,2010,2010-04-05,Arun Jaitley Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,147,165,Sunrisers Hyderabad,0,3
175,2010,2010-04-09,MA Chidambaram Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,154,126,Punjab Kings,28,0
176,2010,2010-04-08,Sawai Mansingh Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,192,182,Punjab Kings,10,0
177,2010,2010-04-03,MA Chidambaram Stadium,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,195,138,Royal Challengers Bangalore,57,0
178,2010,2010-04-10,Rajiv Gandhi Intl Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,157,157,Sunrisers Hyderabad,0,5
179,2010,2010-04-20,MA Chidambaram Stadium,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,147,157,Punjab Kings,0,5
